,username,description,location,following,followers,totaltweets,tweetid,source,tweetdate,tweetlength,likescount,retweetcount,text,hashtags,len_hashtags,city,country,Subjectivity,Polarity,Analysis
39,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336818758283739137,ANDROID,2020-12-09,202,0,0,uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
40,watty76728,"hidden talented but those who hold my ❤ know the truth ©®
riribix40@gmail.com 
⭐
 mysterious qualities
mixed Arab/Asian","Sheffield, England",865,311,7632,1336818743675138048,ANDROID,2020-12-09,273,1,0,got asked keyworker covid19vaccine since dec trended didnt catch ever colds still went work flujab arrest gave fever n headache n made tired still went work lol choice covid jab,"['keyworker', 'COVID19Vaccine', 'colds', 'flujab']",4,Sheffield,ENGLAND,0.4666666666666666,0.11666666666666668,Positive
41,MinEichler,Minister of Economic Development and Training • MLA for Lakeside,"Teulon, MB",453,2793,7998,1336818726797258753,APPLE,2020-12-09,240,4,0,province begin implement covid19vaccine plan early next week first doses pfizer vaccine arrive manitoba read full news release visit mbpoli,"['COVID19Vaccine', 'mbpoli']",2,Teulon,MB,0.29583333333333334,0.175,Positive
42,AliceMcGovern4,Research Fellow | The University of Melbourne | Interactions between the nervous system and respiratory diseases 🧠 | Mum👩‍👧| Go Dees 🏉 @mazzonelab,"Melbourne, Victoria",267,234,171,1336818646673367041,ANDROID,2020-12-09,208,1,1,heading says dangerous immoral complete bullshit article newspaper produced oh pay read well covid19vaccine covid19,"['COVID19Vaccine', 'COVID19']",2,Melbourne,VICTORIA,0.65,-0.25,Negative
45,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336818416942923776,ANDROID,2020-12-09,298,0,0,urgent covid19 vaccine update uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom tcoyjh41xkkgb,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
46,mcharbonteacher,Dad of three very cool kids - Retired English/Media Teacher - St. Baldrick’s Head Shavee - Le Moyne College '86,"Baldwinsville, NY",1296,827,24980,1336818326476103687,APPLE,2020-12-09,196,5,0,latest fact trumplegacy enough vaccine doses available looks like 30 population able get vaccinated spring yet another failure covid19vaccine trumpvirus,"['TrumpLegacy', 'COVID19Vaccine', 'TrumpVirus']",3,Baldwinsville,USA,0.5449999999999999,0.21666666666666665,Positive
48,lkjtexas,"Those who stand for nothing, fall for anything    — Alexander Hamilton

#Vote🇺🇸 #BidenHarris","Texas, USA",5406,4924,447934,1336818183265787914,ANDROID,2020-12-09,92,0,0,wonderful tweet especially america waiting covid19vaccine,['COVID19Vaccine'],1,Texas,USA,1.0,0.5,Positive
54,Buffalonian_,Nipples on men are for decoration only,"Buffalo, NY",388,391,666,1336817680037318662,ANDROID,2020-12-09,98,1,0,walmart target packed shoppers cant get haircut covid19 covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,Buffalo,USA,0.0,0.0,Neutral
58,earthtojobelle,no,"Toronto, Ontario",173,109,2832,1336817395789344773,APPLE,2020-12-09,51,0,0,fr though yall gonna get covid19vaccine,['COVID19Vaccine'],1,Toronto,CANADA,0.0,0.0,Neutral
62,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336817032256352256,ANDROID,2020-12-09,300,0,0,urgent covid19 vaccine update uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom opm mofa pmo en tcoq8anh0slwi,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
64,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336816767159525376,ANDROID,2020-12-09,298,0,0,urgent covid19 vaccine update uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom ash canada,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
66,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336816397008039937,ANDROID,2020-12-09,302,0,0,urgent covid19 vaccine update uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom tcodhekmdpjph,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
74,saraturner19,Wear A Mask 😷 ⚡️ Boston Sports fan ⚡️ Rescue Dog Mom ⚡️Classic Movie Lover ⚡️Mental Health/Chronic Pain Awareness 🌈⚡️Be Kind⚡️⚡️💫,"Massachusetts, USA",424,2294,278862,1336815431219339267,APPLE,2020-12-09,228,9,0,im going worry covid19 vaccine allergies unfortunately allergic british listed wont even available next summer probably theyll figure covid19vaccine,"['COVID', 'COVID19Vaccine']",2,Massachusetts,USA,0.35,-0.024999999999999994,Negative
76,CosmoInsNJ,"Cosmo Insurance Agency specializes in #EmployeeBenefits #HealthInsurance, #LifeInsurance, #DentalInsurance in #NewJersey, #Pennsylvania, and #NewYork.","Lakewood, NJ",42,248,4775,1336815410436575232,BUFFER,2020-12-09,304,0,0,receiving covid19 vaccine new jersey residents receive vaccine enrolled njs immunization information system vaccine covid19 covid19vaccine newjersey immunization healthinsurance insurance wearamask nj staysafe,"['vaccine', 'covid19', 'covid19vaccine', 'newjersey', 'immunization', 'healthinsurance', 'insurance', 'wearamask', 'nj', 'staysafe']",10,Lakewood,USA,0.45454545454545453,0.13636363636363635,Positive
77,StaceyM161992,"💖 Loves all things sparkly 💫 purple 💜butterflies 🦋 unicorns 🦄🌈
Big lover of the theatre and the cinema 🎭 🎫🎞 🎬📽","Saint Helens, England",2250,201,857,1336815330119782400,ANDROID,2020-12-09,279,0,0,live vunerable individual expect get covid19vaccine however would make sense whole household vaccinated time partner key worker going shops behalf,['COVID19Vaccine'],1,Saint Helens,ENGLAND,0.575,0.08409090909090909,Positive
78,Violetsurfer,#surfersays crack is whack & DrugsAreBad!! #VirginityRocks 💀💀✌️💜 #staynami,"Kissimmee, FL",6,17,4602,1336815144391815168,APPLE,2020-12-09,268,0,0,like fukk take vaccine sick even first week day imagine longterm affects bitch got fukked ant fukkin wit shit antivaccine covid19vaccine covidvaccine pfizer pfizerbiontech moderna,"['AntiVaccine', 'COVID19Vaccine', 'CovidVaccine', 'Pfizer', 'PfizerBioNTech', 'moderna']",6,Kissimmee,USA,0.6634920634920635,-0.22142857142857145,Negative
79,TheLastPersont2,🧡🧡🧡🧡🧡🧡🧡🧡🧡  #FBPE  #RejoinEU  Covid-19  #MSDStrong  #SantaFeStrong  #TOStrong #PittsburghStrong #VBStrong  #ElPasoStrong  #DaytonStrong  #EndGunViolence,"London, UK",4108,4189,44582,1336815137097977858,WEB,2020-12-09,189,6,3,useful indication uk population vaccinated assuming particular oxford astrazeneca covid19vaccine approved soon newsnight covid19 coronavirus,"['COVID19Vaccine', 'Newsnight', 'COVID19', 'coronavirus']",4,London,ENGLAND,0.16666666666666666,0.23333333333333334,Positive
80,DrLynnSimpson,,"Columbia University Medical Center, New York",198,623,2234,1336815110430597123,WEB,2020-12-09,47,0,0,agree covid19vaccine,['COVID19Vaccine'],1,Columbia University Medical Center,NEWYORK,0.0,0.0,Neutral
81,Mumssayradio,LET'S T👄LK ABOUT IT CAMPAIGN 🎤Live Radio Station🎤 Global conversation for the parenting community 🎤▪️Hard Hitting Topics🥊 https://t.co/WmplOfppTq,"England, United Kingdom",291,287,1690,1336814981552156672,ANDROID,2020-12-09,123,0,0,consider thiswhat medical doctors right covid19vaccine covid19 medicaldoctors,"['COVID19Vaccine', 'COVID19', 'medicaldoctors']",3,England,ENGLAND,0.26785714285714285,0.14285714285714285,Positive
84,BusyDrT,Doctor who speaks out about vaccines.,"Cleveland, Ohio",323,79906,15452,1336814763561668609,APPLE,2020-12-09,257,1081,465,first woman receive covid19vaccine yesterday dec 8 2020 also filmed receiving shot oct 22 2020 outfit nurse room chair amp camera angle probably coincidence,['COVID19Vaccine'],1,Cleveland,USA,0.3333333333333333,0.25,Positive
85,KimColeyRx,Pitt Pharmacy Professor; Community Pharmacy  Researcher; #MedicareForAll #H2P #PittPharmacy,"Pittsburgh, PA",190,115,449,1336814756762705923,APPLE,2020-12-09,162,18,3,big win today pennsylvanias student pharmacists path immunizers big win pa public health covid19 vaccination covid19vaccine,"['COVID19', 'vaccination', 'COVID19Vaccine']",3,Pittsburgh,USA,0.21333333333333332,0.32,Positive
86,jwalverson10,Ret USAF MSgt where I was a proud member of Intel Community. Gamecock by the grace of God 1998 grad of the Univ of South Carolina.,"Charlotte, NC",816,546,22846,1336814629847232512,ANDROID,2020-12-09,311,1,1,nini perhaps clearly things didnt go great uk yesterday odd liberals amp covid blame something goes wrong wthe covid19vaccine,"['Liberals', 'Covid', 'COVID19Vaccine']",3,Charlotte,USA,0.5708333333333333,0.05833333333333335,Positive
92,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336814437580226560,ANDROID,2020-12-09,255,0,0,urgent covid19 vaccine update uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
97,Brotein_Sheik,PhD candidate 🇸🇦 🇺🇸 Petroleum engineer 🛢 President-elect 👌🏻,"Houston, TX",2194,714,9564,1336813993478983680,APPLE,2020-12-09,82,2,0,boys getting vaccine covid19vaccine,['COVID19Vaccine'],1,Houston,USA,0.0,0.0,Neutral
98,DRandall,Sow Something To Eat 💞 USA 🇺🇸,"Earth, USA",2365,1874,130679,1336813908166914050,APPLE,2020-12-09,269,0,0,conjunction saturn jupiter december synonymous b1 newblackmedia 12tribesofisrael hebrewisraelites hebrew israelites negroes africanamericans ados fda blacktwitter israeliteslivesmatter covid19vaccine coronavirus,"['B1', 'newblackmedia', '12tribesofisrael', 'hebrewisraelites', 'hebrew', 'israelites', 'negroes', 'africanamericans', 'ados', 'fda', 'BlackTwitter', 'IsraelitesLivesMatter', 'COVID19Vaccine', 'coronavirus']",14,Earth,USA,0.0,0.0,Neutral
99,rubin_allergy,"Board-Certified Allergist/Immunologist | #Girldad | Alum of @CWRUSOM, @UIC_COM, and @WUSTLmed | Working to demystify allergies! #AIMedEd #MedTwitter","Naperville, IL",270,197,641,1336813841989169159,WEB,2020-12-09,279,0,0,hey aimeded get clarity article describes two people reacted covid19vaccine anaphylactoid reactions anaphylaxis thought term wasnt used anymore org,"['AIMedEd', 'COVID19Vaccine', 'anaphylaxis']",3,Naperville,USA,0.0,0.0,Neutral
100,KLS4chaos,"Pediatrician, Wife, Mama. Passionate about vaccination, supporter of LGBTQ youth ... and lover of dogs. I blame COVID for the last one. she/her","St Albert, AB",80,61,377,1336813788276781058,APPLE,2020-12-09,285,3,0,getting covid19vaccine soon offered risk lasting complications covid risk spreading love risk risk childrens mental health prolonging current isolation gtgt risks vaccine,"['COVID19Vaccine', 'COVID']",2,St Albert,AB,0.30000000000000004,0.1,Positive
101,KawaNisrine,"Global Health MPH @HarvardChansph | Former Dermatology Research Fellow, Wellman Lab #MGH | MD 17’ @aub_lebanon","Boston, MA",418,122,74,1336813619422646277,APPLE,2020-12-09,287,1,0,excellent timely session people become hopeful return normal covid19vaccine please remember substitute following publichealth measures let us create false amp premature sense security,"['normal', 'COVID19Vaccine', 'PUBLICHEALTH']",3,Boston,USA,0.5875,0.18749999999999994,Positive
102,Immunize_USA,"We are unapologetic advocates of immunization.  Protect yourself, protect your family.  Immunize.  Prevent what's preventable.","Houston, TX",2215,2141,6328,1336813597440286721,WEB,2020-12-09,301,0,2,todays tip faqs amp facts mrna covid19vaccine affect dna doesnt interact dna way btw cancer researchers used mrna trigger immune system target specific cancer cells immunizeusa immunizetx vaxtexas covid19 coronavirus,"['mRNA', 'COVID19Vaccine', 'immunizeUSA', 'immunizeTX', 'VaxTexas', 'COVID19', 'coronavirus']",7,Houston,USA,0.125,0.0,Neutral
103,MarkN901,"🙋‍♂️ Here
And all credit to others vids/pics i post. My baby @val38373742","Memphis, TN",111,115,3696,1336813533544189952,ANDROID,2020-12-09,110,0,0,covid19vaccine whats manipulation99,"['COVID19Vaccine', 'manipulation99']",2,Memphis,USA,0.0,0.0,Neutral
104,familypharmer,"dad - small town family pharmacist - healthcare provider - community member
The best way to cure a disease is to prevent it!","Dauphin, MB",146,168,557,1336813397153878017,ANDROID,2020-12-09,215,4,0,using pharmacy software covid19vaccine patient data entry lot expiry inventory recall 2nd dose adverse rxn log report provincial database,['COVID19Vaccine'],1,Dauphin,MB,0.0,0.0,Neutral
105,CesarC81,,"México, D.F.",840,278,7761,1336813368586481667,ANDROID,2020-12-09,122,1,0,tell youre gonna limpbizkit vaccine covid19 covid19vaccine rollin tcoqfjifb5ogq,"['LimpBizkit', 'Vaccine', 'Covid19', 'Covid19Vaccine', 'Rollin']",5,México,DF,0.0,0.0,Neutral
106,Violetsurfer,#surfersays crack is whack & DrugsAreBad!! #VirginityRocks 💀💀✌️💜 #staynami,"Kissimmee, FL",6,17,4602,1336813363813380096,APPLE,2020-12-09,188,0,0,morderna pfizer vaccine gon keep makin money aint takin bitches antivaxxers pfizerbiontech moderna covid19vaccine covidvaccine,"['antivaxxers', 'PfizerBioNTech', 'Moderna', 'COVID19Vaccine', 'CovidVaccine']",5,Kissimmee,USA,0.0,0.0,Neutral
107,charisma_news,"To passionate, Spirit-filled Christians, Charisma News is the most trusted source for credible news and insight from a charismatic perspective.","Lake Mary, Fla.",2670,21291,93558,1336812872891052036,TWEETDECK,2020-12-09,111,3,2,end times underskin vaccination mark developed endtimes covid19vaccine,"['EndTimes', 'COVID19Vaccine']",2,Lake Mary,FLA,0.3,0.1,Positive
108,OurBlessedHope,"...and to know the love of Christ, which passes knowledge, that ye might be filled with all the fullness of God.","Orlando, FL",196,80,688,1336812779534249985,WEB,2020-12-09,114,1,1,live fear nofear godsgrace sufferingforchrist pandemic covid19vaccine,"['nofear', 'godsgrace', 'sufferingforchrist', 'pandemic', 'COVID19Vaccine']",5,Orlando,USA,0.5,0.13636363636363635,Positive
111,AAFANational,"Asthma and Allergy Foundation of America the oldest and largest nonprofit patient group fighting to save lives via advocacy, research, education and support.","Washington, DC",3268,9966,7814,1336812113415663616,ANDROID,2020-12-09,270,4,1,uk revised warnings shared earlier tweaking advice make clear youve got food allergy youre risk imperial college londons paul turner expert allergy immunology covid19vaccine,['COVID19Vaccine'],1,Washington,USA,0.44166666666666665,0.05000000000000001,Positive
113,N16Breda,"Irish in Hackney ☘ Member of @LdnIrishARC.
Taking time out from @BredaCorish work to study #History at QMUL.
A trustee for @IrishInBritain 
RT not = endorsement","Stoke Newington, London",2709,1282,14250,1336811652583464964,ANDROID,2020-12-09,95,2,0,hackneyites great opp volunteer wuth covid19vaccine rollout,"['volunteer', 'COVID19Vaccine']",2,Stoke Newington,LONDON,0.75,0.8,Positive
115,djalwayssmiling,"Love music-#cigars and enjoys #life , also check out my #YouTube channel awesome channel ""DJ ALWAYS SMILING"" and my https://t.co/q333KuuE5l","Illinois, USA",65,11,77,1336811312920334345,APPLE,2020-12-09,132,1,0,heard news u cant drink alcohol two months u take covid19vaccine,['COVID19Vaccine'],1,Illinois,USA,0.0,0.0,Neutral
117,moogie59,English tutor. Author. Voracious reader. Reviewer for AAR. Saddened and angered by all injustice. 🌈🌈🌈 Love has no Labels❤," UK, European Union 🇪🇺",1520,1717,83863,1336811163766706182,ANDROID,2020-12-09,142,0,0,antivaxxers dont worry truth covid19vaccine picture foot became antivaccine propaganda,"['antivaxxers', 'COVID19Vaccine']",2, UK,EUROPEANUNION,0.1,-0.1,Negative
118,michaelnike2020,Canceled the gym membership so it’s back to basics with the growing home gym. What y’all doin’?,"Indiana, USA",269,44,3443,1336811100529188867,APPLE,2020-12-09,83,0,0,trust science covid19vaccine,['COVID19Vaccine'],1,Indiana,USA,0.0,0.0,Neutral
119,19Doug64,"Life is beautiful and we need to work to keep it that way, Create Change, Help Others","Orillia, Ontario",122,63,2012,1336811078618144769,APPLE,2020-12-09,273,1,0,u seen ingredients canada amp world used guinea pigs u take covid19vaccine im surprised u would used think albertans independent freedomloving folks u r making rethink,"['Canada', 'world', 'COVID19Vaccine', 'Albertans', 'independent', 'freedom']",6,Orillia,CANADA,0.5125,0.05,Positive
123,RydellViveka,"Opening doors. Passionate leader & immigrant, bringing people & ideas together to solve problems: healthcare, food systems, community engagement & philanthropy.","Healdsburg, CA",3405,235,561,1336810746403934208,APPLE,2020-12-09,85,2,0,looking forward healthequity trust covid19vaccine,"['healthequity', 'trust', 'COVID19Vaccine']",3,Healdsburg,USA,0.0,0.0,Neutral
124,19Doug64,"Life is beautiful and we need to work to keep it that way, Create Change, Help Others","Orillia, Ontario",122,63,2012,1336810181590724608,APPLE,2020-12-09,264,0,0,covid19vaccine wont u seen side effects daughters wont either want children later covid19 canada disappoint lot canadians let us real reporter,"['COVID19Vaccine', 'children', 'COVID19', 'Canada', 'Canadians']",5,Orillia,CANADA,0.15000000000000002,0.1,Positive
126,Victori88325151,Mother | Marketer | Social Activist | Voice Of Reason,"Chattanooga, TN",53,5,46,1336810028167262210,WEB,2020-12-09,231,0,0,promising science could save many lives lt3 thank covid19 covid19vaccine kamalaharrisvp,"['COVID19', 'COVID19Vaccine', 'KamalaHarrisVP']",3,Chattanooga,USA,0.5,0.35,Positive
127,OllyBrown,NIHR Academic Clinical Fellow in Cardiology. Lover of all things heart related.,"Leeds, England",123,109,224,1336809983783161857,APPLE,2020-12-09,206,4,0,point dying 91yearolds vaccination interview goe via someone aspire maybe positivity covid19vaccine positivity,"['COVID19Vaccine', 'positivity']",2,Leeds,ENGLAND,0.0,0.0,Neutral
129,HolisticZombie,"Merry COVID Christmas 
 from ZOMBIELAND 
  in #LockDown....again !!!
  #TheGreatReset #FightBack #NoMoreLockdowns","Toronto, Canada ",3971,1838,15777,1336809947225526274,WEB,2020-12-09,201,1,0,wait vulnerable get vaccination first human testing nursing homes low income covid19vaccine covidvaccine,"['COVID19Vaccine', 'CovidVaccine']",2,Toronto,CANADA,0.3083333333333333,-0.0625,Negative
132,vanartsradio,The online station run by students enrolled in the VanArts - Broadcasting & Online MediaProgram. To listen: https://t.co/FrFpevME5V,"Vancouver, B.C.",2208,523,3547,1336809773623353347,ANDROID,2020-12-09,89,1,0,hell freaking yes lets go os covid19vaccine canada,"['COVID19Vaccine', 'Canada']",2,Vancouver,BC,0.0,0.0,Neutral
133,zanneslaw,"J.D. Law, #LegalTech consultant, #Fibro Warrior, Model/Actor. She/Her. 🇨🇦🇬🇷 @ramoneLIVE  https://t.co/jL5Lths6mj","Toronto, Ontario",35171,34045,8964,1336809713749602305,ANDROID,2020-12-09,275,5,1,canada monitoring pfizer vaccine uk allergic reactions people history significant allergic reactions vaccine medicine food receive pfizer vaccine darn im group anyone else covid19vaccine,['COVID19Vaccine'],1,Toronto,CANADA,0.875,0.375,Positive
135,CatherineWABI,Assistant News Director/Noon Anchor at WABI TV5. #wife #twinmom #journalist Links & RTs ≠ endorsements. Opinions are my own. Connect with me at cpegram@wabi.tv,"Bangor, ME",730,601,4522,1336809424200085509,APPLE,2020-12-09,156,0,0,mainecdc says covid19vaccine means mark end pandemic start slow decline cases,"['COVID19Vaccine', 'pandemic']",2,Bangor,USA,0.39999999999999997,-0.30000000000000004,Negative
